acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre
0.321,0.671,201305,0.406,0.000324,C#,0.11,-8.863,Major,0.0766,91.04,0.409,
0.465,0.727,184362,0.618,0,A#,0.261,-5.888,Minor,0.305,146.268,0.301,
0.0637,0.837,313987,0.538,0,C,0.0791,-8.921,Major,0.288,109.943,0.318,
0.0495,0.833,258688,0.874,0,G#,0.345,-9.426,Major,0.155,102.866,0.414,
0.443,0.82,231240,0.809,0.00175,E,0.0613,-6.759,Minor,0.251,83.011,0.737,
0.469,0.764,186403,0.784,0,A#,0.123,-4.003,Minor,0.0833,144.981,0.51,
0.00545,0.885,121704,0.787,0,C#,0.0669,-6.962,Major,0.321,146.066,0.342,
0.0913,0.901,152373,0.513,0,C#,0.267,-10.029,Major,0.305,91.477,0.628,
0.0136,0.772,293387,0.719,0,A,0.331,-7.04,Minor,0.21,138.031,0.343,
0.0712,0.553,329707,0.596,0,E,0.0901,-10.368,Minor,0.167,79.977,0.325,
0.354,0.852,140187,0.721,0.000645,D#,0.11,-7.4,Minor,0.0751,136.07,0.803,
0.238,0.79,161653,0.793,2.14E-06,G,0.305,-4.138,Major,0.2,85.006,0.584,
0.0283,0.849,195400,0.536,0.45,A,0.0659,-5.596,Minor,0.0582,137.068,0.89,
0.127,0.643,254653,0.73,0,B,0.217,-7.437,Minor,0.313,131.895,0.276,
0.079,0.904,223053,0.783,0,C,0.149,-4.475,Major,0.145,114.952,0.176,
0.181,0.92,206267,0.731,0,E,0.121,-4.996,Minor,0.274,132.086,0.476,
0.0411,0.615,223147,0.648,0,F,0.277,-3.792,Minor,0.22,169.912,0.26,
0.0189,0.336,173933,0.614,1.08E-06,C,0.135,-8.139,Minor,0.375,190.981,0.253,
0.0506,0.793,207682,0.455,0,F,0.115,-7.195,Minor,0.368,125.921,0.145,
0.199,0.845,196465,0.859,0,B,0.348,-4.433,Minor,0.161,103.065,0.43,
0.0859,0.845,229840,0.701,0.00232,G#,0.494,-5.111,Minor,0.209,91.851,0.647,
0.0846,0.816,188960,0.384,0,G#,0.109,-9.888,Major,0.0572,158.257,0.893,
0.0118,0.743,131396,0.804,0,A#,0.0935,-7.652,Minor,0.3,94.982,0.61,
0.0768,0.827,259493,0.728,0,D,0.237,-3.912,Major,0.307,90.872,0.692,
0.526,0.711,248200,0.733,0,C,0.0675,-4.96,Minor,0.34,172.925,0.87,
0.139,0.725,181867,0.659,0,A,0.106,-4.537,Major,0.246,160.062,0.56,
0.0252,0.806,198110,0.77,0,C#,0.0645,-6.464,Minor,0.19,152.094,0.406,
0.0641,0.71,226733,0.486,0,B,0.112,-6.221,Minor,0.251,133.284,0.17,
0.0172,0.724,217984,0.691,1.68E-05,F#,0.194,-5.665,Minor,0.0324,126.002,0.236,
0.796,0.763,174222,0.444,0,G#,0.104,-7.635,Major,0.0356,135.03,0.603,
0.0639,0.666,350219,0.62,1.41E-06,C,0.116,-9.871,Major,0.343,129.937,0.12,
0.333,0.676,170507,0.619,0,F#,0.165,-6.89,Major,0.0633,96.045,0.309,
0.061,0.787,300000,0.743,0,C#,0.294,-4.206,Major,0.0642,102.076,0.454,
0.063,0.688,192253,0.631,0,A,0.108,-5.612,Major,0.13,186.066,0.854,
0.0613,0.568,242053,0.609,9.11E-06,F,0.0954,-7.698,Minor,0.279,143.351,0.396,
0.045,0.8,290693,0.619,0,E,0.0681,-8.943,Major,0.168,132.008,0.585,
0.00195,0.541,178507,0.563,0.111,B,0.193,-6.75,Major,0.0737,115.297,0.105,
0.18,0.676,211493,0.762,0,D,0.784,-7.483,Major,0.313,81.745,0.648,
