,acousticness,danceability,energy,instrumentalness,loudness,speechiness,tempo,genre
0,0.85,0.0964,0.797,8.38e-06,-7.429,0.136,99.615,Jazz
1,0.773,0.0352,0.581,0.0,-8.466,0.432,94.093,Jazz
2,0.824,0.0362,0.733,0.0,-5.474,0.0613,97.972,Classical
3,0.562,0.0168,0.83,0.0,-7.296,0.45,178.686,Hip-Hop
4,0.739,0.24,0.75,0.0,-5.056,0.339,93.331,Hip-Hop
5,0.82,0.443,0.809,0.00175,-6.759,0.251,83.011,Jazz
6,0.862,0.0455,0.648,0.0,-7.401,0.251,98.012,Jazz
7,0.816,0.16,0.775,0.00031,-3.323,0.234,93.431,Jazz
8,0.479,0.57,0.549,0.0235,-10.551,0.373,180.985,Hip-Hop
9,0.51,0.0738,0.931,0.0,-3.302,0.347,201.936,Hip-Hop
10,0.906,0.00864,0.623,4.19e-06,-6.711,0.303,99.498,Jazz
11,0.782,0.148,0.589,0.0,-4.827,0.189,90.438,Jazz
12,0.763,0.0146,0.786,0.0114,-6.472,0.229,93.857,Jazz
13,0.754,0.0287,0.785,0.00144,-8.178,0.18,94.123,Jazz
14,0.814,0.097,0.481,3.83e-05,-5.183,0.245,96.252,Jazz
15,0.795,0.112,0.6,0.000171,-14.004,0.341,101.78,Jazz
16,0.612,0.0137,0.659,0.0,-6.995,0.406,99.137,Hip-Hop
17,0.761,0.0135,0.899,0.0,-3.09,0.183,95.027,Jazz
18,0.922,0.0281,0.909,0.0,-2.429,0.27,95.295,Jazz
19,0.901,0.145,0.697,0.0,-3.439,0.28,93.941,Jazz
20,0.934,0.0516,0.459,0.0,-7.654,0.189,103.04,Jazz
21,0.848,0.173,0.666,0.000699,-6.547,0.274,96.662,Jazz
22,0.897,0.0291,0.611,0.186,-10.489,0.211,102.304,Jazz
23,0.879,0.0474,0.564,9.43e-06,-7.682,0.247,93.908,Jazz
24,0.798,0.33,0.744,0.000106,-5.328,0.136,82.356,Jazz
25,0.792,0.18,0.744,0.0,-7.18,0.241,120.985,Jazz
26,0.849,0.304,0.521,1.65e-06,-12.999,0.216,95.265,Jazz
27,0.549,0.0285,0.853,0.000296,-4.293,0.188,94.695,Jazz
28,0.889,0.47,0.818,0.0,-4.639,0.253,96.063,Jazz
29,0.813,0.125,0.703,1.26e-06,-5.077,0.268,94.828,Jazz
30,0.924,0.0827,0.74,0.0,-1.299,0.0774,133.974,Classical
31,0.845,0.0128,0.884,2.1e-06,-4.506,0.0759,104.536,Rock
32,0.801,0.00253,0.908,0.000655,-6.554,0.221,87.279,Jazz
33,0.681,0.137,0.505,0.0,-11.709,0.138,89.953,Jazz
34,0.665,0.0394,0.91,0.0,-4.682,0.223,84.099,Jazz
35,0.794,0.124,0.95,7.71e-05,-8.78,0.294,94.984,Jazz
36,0.759,0.0903,0.756,2.36e-06,-8.145,0.266,87.059,Jazz
37,0.52,0.272,0.847,0.0,-5.3,0.427,177.371,Hip-Hop
38,0.692,0.000136,0.833,1.98e-05,-3.974,0.0492,96.814,Rock
39,0.817,0.0318,0.552,7.01e-06,-10.8,0.385,102.011,Jazz
40,0.607,0.209,0.422,0.0,-13.364,0.499,130.47,Hip-Hop
41,0.826,0.199,0.566,0.0,-10.747,0.311,99.131,Jazz
42,0.873,0.03,0.719,0.0,-5.948,0.248,93.281,Jazz
43,0.854,0.0113,0.71,8.72e-05,-6.32,0.0793,106.894,Classical
44,0.934,0.031,0.735,8.6e-06,-6.668,0.251,101.368,Jazz
45,0.711,0.0175,0.62,0.0,-10.174,0.212,179.817,Jazz
46,0.614,0.00776,0.543,3.28e-05,-7.178,0.374,178.422,Jazz
