name,album,artist,artist_genre,release_date,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo
Tumbling Dice,Exile On Main Street (2010 Re-Mastered),The Rolling Stones,Rock,5/12/1972,226333,0.5,0.615,0.91,0.511,0.281,-4.248,0.0347,111.013
Wish You Were Here,Wish You Were Here,Pink Floyd,Rock,9/12/1975,334743,0.735,0.481,0.262,0.0114,0.832,-15.73,0.0414,122.861
Smells Like Teen Spirit,Nevermind (Remastered),Nirvana,Rock,9/26/1991,301920,2.55E-05,0.502,0.912,0.000173,0.106,-4.556,0.0564,116.761
Paradise City,Appetite For Destruction,Guns N' Roses,Rock,7/21/1987,405640,0.0169,0.273,0.952,0.0111,0.142,-8.762,0.0843,100.271
Another One Bites The Dust - Remastered 2011,The Game (Deluxe Remastered Version),Queen,Rock,6/27/1980,214653,0.112,0.933,0.528,0.329,0.163,-6.472,0.162,109.975
Highway to Hell,Highway to Hell,AC/DC,Rock,7/27/1979,208400,0.061,0.574,0.913,0.00158,0.156,-4.793,0.133,115.728
I Love Rock 'N Roll,I Love Rock 'N' Roll (Expanded Edition),Joan Jett & The Blackhearts,Rock,11/18/1981,175173,0.326,0.535,0.716,0,0.659,-5.025,0.0431,94.379
Whole Lotta Love - 1990 Remaster,Led Zeppelin II (1994 Remaster),Led Zeppelin,Rock,10/22/1969,333893,0.0484,0.412,0.902,0.131,0.405,-11.6,0.405,89.74
Creep,Pablo Honey,Radiohead,Rock,2/22/1993,238640,0.0097,0.515,0.43,0.000133,0.129,-9.935,0.0372,91.844
Something In The Way,Nevermind (Remastered),Nirvana,Rock,9/26/1991,232146,0.745,0.427,0.201,0.263,0.109,-13.044,0.0317,105.218
Dream On,Aerosmith,Aerosmith,Rock,1/5/1973,266960,0.388,0.307,0.433,9.08E-05,0.332,-10.057,0.029,160.9
Livin' On A Prayer,Slippery When Wet,Bon Jovi,Rock,1/1/1986,249293,0.0768,0.534,0.887,9.93E-05,0.325,-3.777,0.0345,122.494
Don't Stop Believin',Escape,Journey,Rock,1981,250986,0.127,0.5,0.748,0,0.447,-9.072,0.0363,118.852
Seven Nation Army,Elephant,The White Stripes,Rock,4/1/2003,232106,0.0039,0.743,0.446,0.118,0.337,-7.807,0.0683,123.596
Hotel California - 2013 Remaster,Hotel California (2013 Remaster),Eagles,Rock,12/8/1976,391376,0.00574,0.579,0.508,0.000494,0.0575,-9.484,0.027,147.125
La Grange - 2005 Remaster,Tres Hombres (Expanded 2006 Remaster),ZZ Top,Rock,7/26/1973,230480,0.00249,0.545,0.64,0.0304,0.196,-9.937,0.224,80.544
Heroes - 2017 Remaster,"""Heroes"" (2017 Remaster)",David Bowie,Rock,1977,371413,0.000671,0.49,0.758,0.484,0.092,-6.491,0.0297,112.114
Tom Sawyer,Moving Pictures (2011 Remaster),Rush,Rock,2/12/1981,276880,0.00145,0.536,0.901,0.0186,0.06,-7.211,0.0374,87.559
Baba O'Riley,Who's Next (Deluxe Edition),The Who,Rock,8/14/1971,300400,0.313,0.489,0.724,0.185,0.287,-8.367,0.0352,117.292
Hold the Line,Toto,TOTO,Rock,10/10/1978,235546,0.00783,0.473,0.898,0.0618,0.173,-4.797,0.0561,96.556
Paranoid,Greatest Hits,Black Sabbath,Rock,3/28/2014,168440,8.44E-05,0.426,0.619,0.00239,0.17,-11.501,0.0722,162.721
Police & Thieves - Remastered,The Clash (Remastered),The Clash,Rock,1977,363373,0.0289,0.721,0.488,0.038,0.18,-10.294,0.067,152.287
Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),Red Hot Chili Peppers,Rock,9/24/1991,264306,0.0576,0.559,0.345,0.000105,0.141,-13.496,0.0459,84.581
Back In Black,Back In Black,AC/DC,Rock,7/25/1980,255493,0.011,0.31,0.7,0.00965,0.0828,-5.678,0.047,188.386
Everlong,The Colour And The Shape,Foo Fighters,Rock,5/20/1997,250546,5.99E-05,0.413,0.881,0.000308,0.0805,-5.541,0.0367,158.066
(I Can't Get No) Satisfaction - Mono Version,Out Of Our Heads,The Rolling Stones,Rock,7/30/1965,222813,0.0383,0.723,0.863,0.0317,0.128,-7.89,0.0338,136.302
Paradise By the Dashboard Light,Bat Out Of Hell,Meat Loaf,Rock,10/21/1977,508333,0.214,0.326,0.872,0,0.461,-7.602,0.122,173.381
Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,Rock,2/4/1977,257800,0.0644,0.828,0.492,0.00428,0.128,-9.744,0.0276,120.151
We Will Rock You - Remastered 2011,News Of The World (Deluxe Remastered Version),Queen,Rock,10/28/1977,122066,0.679,0.693,0.497,0,0.258,-7.316,0.119,81.308
Enter Sandman,Metallica,Metallica,Rock,8/12/1991,331573,0.00206,0.579,0.824,0.00903,0.059,-8.71,0.03,123.331
Sweet Home Alabama,Second Helping,Lynyrd Skynyrd,Rock,4/15/1974,281147,0.181,0.597,0.605,0.000331,0.118,-12.013,0.0255,97.782
Have You Ever Seen The Rain,Pendulum (40th Anniversary Edition),Creedence Clearwater Revival,Rock,12/7/1970,160133,0.0664,0.741,0.697,2.28E-05,0.133,-7.028,0.0277,116.109
Born To Be Wild,Steppenwolf,Steppenwolf,Rock,1968,210373,0.262,0.438,0.71,0.537,0.221,-12.412,0.0919,145.928
Moonage Daydream - 2012 Remaster,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),David Bowie,Rock,6/6/1972,279693,0.0408,0.56,0.605,0.000162,0.0585,-11.209,0.0348,144.478
Every Breath You Take - Remastered 2003,Synchronicity,The Police,Rock,6/1/1983,253886,0.56,0.813,0.46,0.0105,0.0724,-9.78,0.0346,117.387
I Wanna Rock,Stay Hungry,Twisted Sister,Rock,5/10/1984,179760,0.00512,0.504,0.911,0.0123,0.355,-2.97,0.0738,106.244
You Really Got Me,Kinks (Super Deluxe Edition),The Kinks,Rock,10/2/1964,133933,0.0995,0.567,0.959,6.07E-05,0.1,-3.822,0.102,137.377
Limelight,Moving Pictures (2011 Remaster),Rush,Rock,2/12/1981,259839,0.00197,0.581,0.854,0.0013,0.111,-8.485,0.0428,131.18
Black Dog - Remaster,Led Zeppelin IV (Deluxe Edition),Led Zeppelin,Rock,11/8/1971,295386,0.396,0.437,0.864,0.0314,0.242,-7.842,0.0904,81.394
London Calling - Remastered,London Calling (Remastered),The Clash,Rock,1979,200480,0.123,0.651,0.801,0,0.0825,-7.34,0.0514,133.769
Come Together - Remastered 2009,Abbey Road (Remastered),The Beatles,Rock,9/26/1969,259946,0.0302,0.533,0.376,0.248,0.0926,-11.913,0.0393,165.007
House Of The Rising Sun,The Best Of The Animals,The Animals,Rock,1966-02,269720,0.000825,0.315,0.534,0.108,0.101,-7.552,0.031,116.891
Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,Rock,7/21/1987,356066,0.0901,0.446,0.952,0.0857,0.112,-5.321,0.0523,125.303
Sultans of Swing,Dire Straits,Dire Straits,Rock,10/7/1978,350400,0.0632,0.73,0.868,0.0661,0.318,-7.325,0.0288,148.217
