genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Rap,0.514,0.652,162795,0.37,6.44e-06,D#,0.112,-9.346,Minor,0.25,124.979,0.338
Rap,0.517,0.556,351000,0.702,0.0,C,0.343,-10.079,Minor,0.205,155.948,0.793
Rap,0.388,0.512,278045,0.765,0.0,E,0.639,-7.379,Minor,0.163,142.14,0.416
Rap,2.75e-05,0.423,200813,0.818,0.000338,C#,0.407,-3.603,Major,0.102,171.039,0.496
Rap,0.192,0.827,85754,0.673,0.00136,F,0.146,-8.401,Minor,0.23,78.007,0.779
Rap,0.509,0.96,174828,0.82,1.73e-05,C#,0.123,-3.13,Major,0.219,116.048,0.363
Rap,0.191,0.454,384133,0.518,0.0,C,0.936,-8.396,Minor,0.0936,120.103,0.329
Rap,0.108,0.927,210937,0.488,0.0,A,0.196,-9.433,Minor,0.42,133.987,0.605
Rap,0.218,0.795,123298,0.628,0.0,D,0.164,-7.686,Major,0.308,147.96,0.534
Rap,0.0332,0.466,193733,0.842,9.12e-06,F#,0.349,-2.937,Major,0.0513,75.0,0.418
Rap,0.128,0.729,191966,0.8,0.0,C#,0.314,-6.536,Minor,0.063,150.007,0.833
Rap,0.145,0.95,213066,0.803,0.0,C#,0.0748,-4.195,Major,0.151,117.0,0.86
Rap,0.303,0.654,723573,0.753,8.08e-05,B,0.13,-7.556,Minor,0.395,110.722,0.371
Rap,0.14,0.703,227045,0.632,0.00287,F#,0.282,-11.037,Major,0.111,142.275,0.849
Rap,0.312,0.826,182491,0.657,2.22e-06,D,0.0373,-8.277,Major,0.274,99.985,0.334
Rap,0.313,0.81,295653,0.73,0.0,B,0.105,-5.209,Minor,0.223,157.003,0.568
Rap,0.0869,0.847,226547,0.667,0.0,F#,0.443,-5.7,Major,0.17,77.492,0.707
Rap,0.31,0.648,248213,0.841,0.0,C,0.136,-4.322,Major,0.212,89.564,0.624
Rap,0.00894,0.758,302600,0.521,0.113,D#,0.301,-7.138,Major,0.0408,140.134,0.0874
